Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,36538,489,22 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
2,danielmiessler/Fabric,https://github.com/danielmiessler/Fabric,Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,Go,42565,4186,52 stars today,danielmiessler; ksylvan; github-actions; eugeis; xssdoctor
3,kunchenguid/no-mistakes,https://github.com/kunchenguid/no-mistakes,git push no-mistakes,Go,1617,107,77 stars today,kunchenguid; github-actions; ghyghoo8; e-jung; luojiyin1987
4,everywall/ladder,https://github.com/everywall/ladder,Selfhosted alternative to 12ft.io. and 1ft.io. Proxy to remove CORS headers and modify HTML,Go,8477,486,27 stars today,mms-gianni; joncrangle; deoxykev; boomam; dependabot
5,haierkeys/fast-note-sync-service,https://github.com/haierkeys/fast-note-sync-service,"High-performance, low-latency note synchronization, online management, and remote REST API service platform.",Go,1657,145,11 stars today,haierkeys; claude; chenxiccc; ZyphrZero; 0xfe10
6,Armur-Ai/Pentest-Swarm-AI,https://github.com/Armur-Ai/Pentest-Swarm-AI,"Autonomous penetration testing using a swarm of AI agents. Orchestrates recon, classification, exploitation, and reporting specialists with ReAct reasoning — supports bug bounty, continuous monitoring, and CTF modes. Built with Go, Claude API, and 7+ native security tools.",Go,1926,384,36 stars today,AkhilSharma90; Kuro0911; claude; siwacarn; akhilairi
7,esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.,Go,23912,1458,301 stars today,SivanCola; esengine; HUQIANTAO; light-front-theory; cursoragent
8,gosom/google-maps-scraper,https://github.com/gosom/google-maps-scraper,"scrape data from Google Maps. Extracts data such as the name, address, phone number, website URL, rating, reviews number, latitude and longitude, reviews,email and more for each place",Go,4502,683,31 stars today,gosom; dredozubov; sbOogway; fidalgo; knoellp
9,helm/helm,https://github.com/helm/helm,The Kubernetes Package Manager,Go,29903,7670,12 stars today,technosophos; adamreese; mattfarina; dependabot; gjenkins8
10,tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",Go,32801,2678,51 stars today,bradfitz; danderson; josharian; raggi; andrew-d
11,wailsapp/wails,https://github.com/wailsapp/wails,Create beautiful applications using Go,Go,34892,1728,12 stars today,leaanthony; github-actions; claude; stffabi; popaprozac
12,ArvinLovegood/go-stock,https://github.com/ArvinLovegood/go-stock,🦄🦄🦄AI赋能股票分析：AI加持的股票分析/选股工具。股票行情获取，AI热点资讯分析，AI资金/财务分析，涨跌报警推送。支持A股，港股，美股。支持市场整体/个股情绪分析，AI辅助选股等。数据全部保留在本地。支持DeepSeek，OpenAI， Ollama，LMStudio，AnythingLLM，硅基流动，火山方舟，阿里云百炼等平台或模型。,Go,6489,1154,21 stars today,ArvinLovegood; CodeNoobLH; dependabot; GiCo001; github-advanced-security
13,google/adk-go,https://github.com/google/adk-go,"An open-source, code-first Go toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Go,8217,719,10 stars today,dpasiukevich; baptmont; yarolegovich; kdroste-google; hyangah
14,TecharoHQ/anubis,https://github.com/TecharoHQ/anubis,Weighs the soul of incoming HTTP requests to stop AI crawlers,Go,20155,631,34 stars today,Xe; JasonLovesDoggo; dependabot; SlyEcho; lotharsm
15,microsoft/typescript-go,https://github.com/microsoft/typescript-go,Staging repo for development of native port of TypeScript,Go,25709,1011,9 stars today,jakebailey; Copilot; ahejlsberg; andrewbranch; Andarist
16,go-gitea/gitea,https://github.com/go-gitea/gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",Go,56447,6820,34 stars today,lunny; unknwon; wxiaoguang; GiteaBot; silverwind
17,keploy/keploy,https://github.com/keploy/keploy,"Open-source platform for creating safe, isolated production sandboxes for API, integration, and E2E testing.",Go,17737,2249,31 stars today,slayerjain; gouravkrosx; shivamsouravjha; re-Tick; Sarthak160
18,Layr-Labs/d-inference,https://github.com/Layr-Labs/d-inference,Private Inference Network on Idle Macs,Go,214,42,6 stars today,Gajesh2007; cursoragent; anupsv; ethenotethan; hankbobtheresearchoor
19,dapr/dapr,https://github.com/dapr/dapr,"Dapr is a portable runtime for building distributed applications across cloud and edge, combining event-driven architecture with workflow orchestration.",Go,25858,2089,11 stars today,yaron2; JoshVanL; artursouza; dapr-bot; ItalyPaleAle
20,Agent-Field/agentfield,https://github.com/Agent-Field/agentfield,"Build, run and scale AI agents like API and microservices - observable,auditable and identity-aware from day one.",Go,2220,357,7 stars today,santoshkumarradha; github-actions; AbirAbbas; claude; dependabot
