Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,cboxdoerfer/fsearch,https://github.com/cboxdoerfer/fsearch,A fast file search utility for Unix-like systems based on GTK3,C,4250,272,5 stars today,cboxdoerfer; weblate; Vistaus; napcok; Ser82-png
2,Next-Flip/Momentum-Firmware,https://github.com/Next-Flip/Momentum-Firmware,"🐬 Feature-rich, stable and customizable Flipper Firmware",C,8891,563,21 stars today,WillyJL; xMasterX; skotopes; hedger; Astrrra
3,tr4m0ryp/tr4mpass,https://github.com/tr4m0ryp/tr4mpass,"Free, open-source iCloud activation lock bypass tool. Remove iCloud lock from iPhone 5s through iPhone 15 Pro (iOS 12-26.1). Fully offline -- no servers, no payments. Supports checkm8 (A5-A11) and session activation (A12+).",C,365,117,3 stars today,tr4m0ryp; claude
4,webui-dev/webui,https://github.com/webui-dev/webui,"Use any web browser or WebView as GUI, with your preferred language in the backend and modern web technologies in the frontend, all in a lightweight portable library.",C,4519,300,97 stars today,hassandraga; AlbertShown; ttytm; JOTSR; jinzhongjia
5,dorianborian/sesame-robot,https://github.com/dorianborian/sesame-robot,An open and affordable mini quadruped robot based on ESP32.,C,3624,492,14 stars today,dorianborian; shariqnaiyer; one-for-all; vido89; maximeconnolly
6,mgba-emu/mgba,https://github.com/mgba-emu/mgba,mGBA Game Boy Advance Emulator,C,7195,1024,1 star today,endrift; ahigerd; lotharsm; bentley; waddlesplash
7,nothings/stb,https://github.com/nothings/stb,stb single-file public domain libraries for C/C++,C,34242,8065,16 stars today,nothings; rygorous; BSVino; ocornut; rwhitworth
8,ptitSeb/box64,https://github.com/ptitSeb/box64,"Box64 - Linux Userspace x86_64 Emulator with a twist, targeted at ARM64, RV64 and LoongArch Linux devices",C,5521,447,2 stars today,ptitSeb; ksco; xctan; phorcys; rajdakin
9,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,C,146015,13461,59 stars today,rom1v; yume-chan; npes87184; brunoais; rootkea
10,valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,This project aims to enhance the working environment on Windows,C,33350,1352,17 stars today,valinet; Amrsatrio; Kichura; AllieTheFox; Speedy37
11,GameTec-live/ChameleonUltraGUI,https://github.com/GameTec-live/ChameleonUltraGUI,A GUI for the Chameleon Ultra written in Flutter for crossplatform,C,1071,105,2 stars today,Foxushka; GameTec-live; ChameleonHelper; github-actions; aruznieto
12,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,16135,2867,7 stars today,slouken; icculus; sezero; madebr; SDLWikiBot
13,reactos/reactos,https://github.com/reactos/reactos,A free Windows-compatible Operating System,C,17844,2154,5 stars today,tkreuzer; AmineKhaldi; EricKohl; HBelusca; ThFabba
14,ExpressLRS/ExpressLRS,https://github.com/ExpressLRS/ExpressLRS,High Performance Open Source Radio Control Link,C,5114,1463,19 stars today,pkendall64; AlessandroAU; CapnBry; JyeSmith; mha1
15,RfidResearchGroup/ChameleonUltra,https://github.com/RfidResearchGroup/ChameleonUltra,"The new generation chameleon based on NRF52840 makes the performance of card emulation more stable. And gave the chameleon the ability to read, write, and decrypt cards.",C,2831,412,5 stars today,doegox; xianglin1998; GameTec-live; nieldk; turbocool3r
16,pygame/pygame,https://github.com/pygame/pygame,"🐍🎮 pygame (the library) is a Free and Open Source python programming language library for making multimedia applications like games built on top of the excellent SDL library. C, Python, Native, OpenGL.",C,8861,4148,2 stars today,illume; llindstrom; PeterShinners; MyreMylar; dlon
17,86Box/86Box,https://github.com/86Box/86Box,Emulator of x86-based machines.,C,4398,531,2 stars today,OBattler; richardg867; jriwanek; Cacodemon345; TC1995
18,redis/redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,75591,24715,28 stars today,antirez; oranagra; pietern; enjoy-binbin; sundb
19,termux/termux-x11,https://github.com/termux/termux-x11,Termux X-server add-on.,C,4420,610,9 stars today,twaik; dependabot; creepy-pasta101; gradle-update-robot; github-actions
20,ARM-software/CMSIS-DSP,https://github.com/ARM-software/CMSIS-DSP,CMSIS-DSP embedded compute library for Cortex-M and Cortex-A,C,1045,233,1 star today,christophe0606; JonatanAntoni; dependabot; TTornblom
21,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,27011,3897,0 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
