Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,QuantumNous/new-api,https://github.com/QuantumNous/new-api,"A unified AI model hub for aggregation & distribution. It supports cross-converting various LLMs into OpenAI-compatible, Claude-compatible, or Gemini-compatible formats. A centralized gateway for personal and enterprise model management. 🍥",Go,44005,10324,110 stars today,Calcium-Ion; seefs001; t0ng7u; songquanpeng
2,versenilvis/IRIS,https://github.com/versenilvis/IRIS,A shell auto-completion tool for your terminal,Go,1048,32,113 stars today,versenilvis; paoloricciuti; UseTheFork; malinatrash; taciturnaxolotl
3,adithyan-ak/AgentHound,https://github.com/adithyan-ak/AgentHound,"Offensive security framework for AI agent infrastructure - recon, credential looting, model exfiltration, poisoning, and attack-path analysis across MCP, A2A, gateways, and AI services. BloodHound for the agentic stack.",Go,148,32,25 stars today,adithyan-ak; cursoragent; claude; dependabot; PraveenKumarSridhar
4,github/gh-stack,https://github.com/github/gh-stack,GitHub Stacked PRs,Go,673,31,67 stars today,skarim; dependabot; Copilot; Copilot; Copilot
5,NdoleStudio/httpsms,https://github.com/NdoleStudio/httpsms,Send and receive SMS messages using your Android phone programmatically via a simple HTTP API,Go,3851,651,24 stars today,AchoArnold; dependabot; Copilot; eriksson; whiteboxsolutions
6,Ed1s0nZ/CyberStrikeAI,https://github.com/Ed1s0nZ/CyberStrikeAI,"The system of action for AI-native cybersecurity—where intent becomes governed execution, evidence becomes operational memory, and every operation improves the next.",Go,5438,870,31 stars today,Ed1s0nZ; ruanmingchen; donnel666; claude; chhs1129
7,multica-ai/multica,https://github.com/multica-ai/multica,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills.",Go,42995,5437,274 stars today,claude; multica-agent; Bohan-J; NevilleQingNY; forrestchang
8,mudler/LocalAI,https://github.com/mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",Go,48072,4323,37 stars today,mudler; localai-bot; dependabot; renovate; richiejp
9,heroiclabs/nakama,https://github.com/heroiclabs/nakama,"Scalable open-source game backend server: multiplayer, matchmaking, leaderboards, chat, and social features for games.",Go,13070,1458,29 stars today,zyro; novabyte; sesposito; mofirouz; ftkg
10,gruntwork-io/terragrunt,https://github.com/gruntwork-io/terragrunt,Terragrunt is a flexible orchestration tool that allows Infrastructure as Code written in OpenTofu/Terraform to scale.,Go,9747,1217,2 stars today,yhakbar; brikis98; denis256; yorinasub17; dependabot
11,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,37173,561,23 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
12,Tencent/WeKnora,https://github.com/Tencent/WeKnora,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki.",Go,19215,2722,46 stars today,lyingbug; voidkey; begoniezhao; claude; dependabot
13,nianzhibai/91,https://github.com/nianzhibai/91,nine one,Go,1318,358,21 stars today,nianzhibai; claude; cursoragent; Just-Spider; Hi-Mr-Wind
14,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.6, GLM-5.2, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,177460,17219,137 stars today,mxyng; jmorganca; dhiltgen; BruceMacD; jessegross
15,ccfos/nightingale,https://github.com/ccfos/nightingale,Nightingale is to monitoring and alerting what Grafana is to visualization.,Go,13194,1745,14 stars today,710leo; UlricQin; yubo; jsers; shardingHe
16,cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Automatically provision and manage TLS certificates in Kubernetes,Go,13994,2417,5 stars today,jetstack-bot; munnerz; cert-manager-prow; JoshVanL; inteon
17,IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,"CasaOS - A simple, easy-to-use, elegant open-source Personal Cloud system.",Go,36939,2167,11 stars today,LinkLeong; JohnGuan; tigerinus; jerrykuku; allcontributors
18,hashicorp/terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,The AWS Provider enables Terraform to manage AWS resources.,Go,11012,10282,1 star today,ewbankkit; YakDriver; gdavison; bflad; jar-b
19,0xJacky/nginx-ui,https://github.com/0xJacky/nginx-ui,Yet another WebUI for Nginx,Go,11360,853,7 stars today,0xJacky; renovate; Hintay; dependabot; weblate
20,MHSanaei/3x-ui,https://github.com/MHSanaei/3x-ui,"Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess, Vless, Trojan, ShadowSocks, Wireguard, Hysteria, Tunnel, Mixed, HTTP, Tun, MTProto)",Go,44023,8459,91 stars today,MHSanaei; alireza0; dependabot; hamid-gh98; sh1shd
21,ankitpokhrel/jira-cli,https://github.com/ankitpokhrel/jira-cli,🔥 Feature-rich interactive Jira command line.,Go,5868,405,8 stars today,ankitpokhrel; fraggerfox; realtime-neil; kmdpl; dependabot
22,kserve/kserve,https://github.com/kserve/kserve,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes",Go,5756,1600,7 stars today,yuzisun; sivanantha321; Jooho; bartoszmajsak; andyi2it
23,looplj/axonhub,https://github.com/looplj/axonhub,"⚡️ Open-source AI Gateway — Use any SDK to call 100+ LLMs. Built-in failover, load balancing, cost control & end-to-end tracing.",Go,4847,625,12 stars today,looplj; github-actions; djdembeck; sisyphus-dev-ai; Silentely
