Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,OHF-Voice/piper1-gpl,https://github.com/OHF-Voice/piper1-gpl,Fast and local neural text-to-speech engine,C++,5420,523,13 stars today,synesthesiam; IhorShevchuk; claude; a-andre; Norakthes
2,zackb/tether,https://github.com/zackb/tether,Linux + iPhone Continuity / iMessage / SMS,C++,1149,23,97 stars today,zackb; sfreeman422; c10l; cmptr; Copilot
3,metasequoiaime/MetasequoiaImeTsf,https://github.com/metasequoiaime/MetasequoiaImeTsf,水杉输入法。内测：tg: https://t.me/msimegroup QQ Group: 829919142,C++,831,32,26 stars today,fanlusky; liumengwanlhf-design
4,zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,C++,45982,3779,18 stars today,zhongyang219; BombaxCeiba; Hiraeth-Wave; josStorer; bovirus
5,microsoft/microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,WinUI: a modern UI framework with a rich set of controls and styles to build dynamic and high-performing Windows applications.,C++,8273,924,45 stars today,marcelwgn; kmahone; jevansaks; StephenLPeters; ranjeshj
6,dragonflydb/dragonfly,https://github.com/dragonflydb/dragonfly,A modern replacement for Redis and Memcached,C++,31153,1241,77 stars today,romange; dranikpg; kostasrim; vyavdoshenko; BorysTheDev
7,doitsujin/dxvk,https://github.com/doitsujin/dxvk,"Vulkan-based implementation of D3D8, 9, 10 and 11 for Linux / Wine",C++,17979,1222,12 stars today,doitsujin; misyltoad; K0bin; WinterSnowfall; Blisto91
8,LibreCAD/LibreCAD,https://github.com/LibreCAD/LibreCAD,"LibreCAD is a cross-platform 2D CAD program. It can read DXF/DWG, and write DXF/DWG/PDF/SVG files. It supports point/line/circle/ellipse/parabola/hyperbola/spline primitives. The GUI is highly customizable, and has dozens of translations.",C++,6311,1437,5 stars today,dxli; Rallaz; r-a-v-a-s; lordofbikes; rvt
9,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,C++,65961,3142,30 stars today,awesomekling; trflynn89; AtkinsSJ; linusg; kalenikaliaksandr
10,mltframework/shotcut,https://github.com/mltframework/shotcut,"cross-platform (Qt), open-source (GPLv3) video editor",C++,15056,1486,12 stars today,ddennedy; bmatherly; metellius; traprog; eszlari
11,chriskohlhoff/asio,https://github.com/chriskohlhoff/asio,Asio C++ Library,C++,6185,1570,2 stars today,chriskohlhoff; klemens-morgenstern; xavier2k6; vinipsmaker; jcelerier
12,openscad/openscad,https://github.com/openscad/openscad,OpenSCAD - The Programmers Solid 3D CAD Modeller,C++,10094,1789,12 stars today,kintel; t-paul; donbright; thehans; MichaelPFrey
13,mozilla-ai/llamafile,https://github.com/mozilla-ai/llamafile,Distribute and run LLMs with a single file.,C++,25847,1594,25 stars today,jart; aittalam; cjpais; stlhood; corebonts
14,crosire/reshade,https://github.com/crosire/reshade,A generic post-processing injector for games and video software.,C++,5399,699,6 stars today,crosire; cot6; clshortfuse; Thalixte; liuxd17thu
15,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),C++,76299,10783,21 stars today,stweil; egorpugin; zdenop; Shreeshrii; amitdo
16,grpc/grpc,https://github.com/grpc/grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,45282,11371,4 stars today,ctiller; jtattermusch; markdroth; vjpai; yashykt
17,ceph/ceph,https://github.com/ceph/ceph,"Ceph is a distributed object, block, and file storage platform",C++,16990,6499,9 stars today,liewegas; tchaikov; cbodley; batrick; yehudasa
