Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,gastownhall/gastown,https://github.com/gastownhall/gastown,Gas Town - multi-agent workspace manager,Go,16420,1522,51 stars today,steveyegge; claude; julianknutsen; Thalia-geraghty; seanbearden
2,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,"Agentic orchestrator for parallel coding agents — plans tasks, spawns agents, and autonomously handles CI fixes, merge conflicts, and code reviews.",Go,8073,1148,43 stars today,claude; harshitsinghbhandari; AgentWrapper; suraj-markup; ashish921998
3,github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,Go,31223,4517,34 stars today,SamMorrowDrums; dependabot; JoannaaKL; mattdholloway; Copilot
4,jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,simple terminal UI for git commands,Go,80064,2904,45 stars today,jesseduffield; stefanhaller; mjarkk; dawidd6; Ryooooooga
5,podman-container-tools/podman,https://github.com/podman-container-tools/podman,Podman: A tool for managing OCI containers and pods.,Go,32223,3179,11 stars today,openshift-merge-robot; openshift-merge-bot; mheon; Luap99; rhatdan
6,binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,Send push notifications to your phone or desktop using PUT/POST,Go,31308,1352,141 stars today,binwiederhier; nimbleghost; wunter8; StoyanDimitrov; karmanyaahm
7,usememos/memos,https://github.com/usememos/memos,"Open-source, self-hosted note-taking tool built for quick capture. Markdown-native, lightweight, and fully yours.",Go,61356,4537,71 stars today,boojack; johnnyjoygh; dependabot; claude; athurg
8,microsoft/typescript-go,https://github.com/microsoft/typescript-go,Staging repo for development of native port of TypeScript,Go,25799,1031,6 stars today,jakebailey; Copilot; ahejlsberg; andrewbranch; Andarist
9,juanfont/headscale,https://github.com/juanfont/headscale,"An open source, self-hosted implementation of the Tailscale control server",Go,41065,2264,63 stars today,kradalby; juanfont; nblock; restanrm
10,esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.,Go,26058,1620,102 stars today,SivanCola; esengine; ttmouse; lifu963; cursoragent
11,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.6, GLM-5.1, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,175557,16855,94 stars today,mxyng; jmorganca; dhiltgen; BruceMacD; jessegross
12,MHSanaei/3x-ui,https://github.com/MHSanaei/3x-ui,"Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess, Vless, Trojan, ShadowSocks, Wireguard, Hysteria, Tunnel, Mixed, HTTP, Tun)",Go,42296,7911,59 stars today,MHSanaei; alireza0; dependabot; hamid-gh98; sh1shd
13,asciimoo/hister,https://github.com/asciimoo/hister,Your own search engine,Go,1542,81,63 stars today,asciimoo; 4evy; dependabot; ISSOtm; Shadowbee27
14,iawia002/lux,https://github.com/iawia002/lux,👾 Fast and simple video download library and CLI tool written in Go,Go,31491,3310,3 stars today,iawia002; axetroy; Half9000; shavit; dependabot
15,openclaw/crabbox,https://github.com/openclaw/crabbox,"Crabbox: warm a box, sync the diff, run the suite.",Go,1029,116,18 stars today,steipete; vincentkoc; coygeek; zozo123; stainlu
16,Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,Sub2API 一站式开源中转服务，让 Claude、Openai 、Gemini、Grok订阅统一接入，支持拼车共享，更高效分摊成本，原生工具无缝使用。,Go,30367,6219,115 stars today,Wei-Shaw; IanShaw027; touwaeriol; claude; slovx2
17,SagerNet/sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,Go,35723,4255,36 stars today,nekohasekai; renovate; dyhkwong; H1JK; arm64v8a
18,opencode-ai/opencode,https://github.com/opencode-ai/opencode,A powerful AI coding agent. Built for the terminal.,Go,13242,1525,17 stars today,kujtimiihoxha; ezynda3; rekram1-node; AvicennaJr; garrettladley
19,AlexxIT/go2rtc,https://github.com/AlexxIT/go2rtc,Ultimate camera streaming application,Go,13378,1152,9 stars today,AlexxIT; skrashevich; seydx; felipecrs; robvanoostenrijk
20,filebrowser/filebrowser,https://github.com/filebrowser/filebrowser,📂 Web File Browser,Go,35399,3928,14 stars today,hacdias; o1egl; dependabot-preview; ramiresviana; eine
