Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,lvgl/lvgl,https://github.com/lvgl/lvgl,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",C,23341,4131,13 stars today,kisvegabor; embeddedt; FASTSHIFT; github-actions; W-Mai
2,pbatard/rufus,https://github.com/pbatard/rufus,The Reliable USB Formatting Utility,C,35619,3020,51 stars today,pbatard; bovirus; ThiloL; MehmetaliKuran; Sopor
3,espressif/esp-idf,https://github.com/espressif/esp-idf,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,C,17879,8228,7 stars today,igrr; projectgus; jack0c; suda-morris; mahavirj
4,lightpanda-io/browser,https://github.com/lightpanda-io/browser,Lightpanda: the headless browser designed for AI and automation,Zig,29161,1255,89 stars today,karlseguin; krichprollsch; francisbouvier; mookums; arrufat
5,qmk/qmk_firmware,https://github.com/qmk/qmk_firmware,Open-source keyboard firmware for Atmel AVR and Arm USB families,C,20304,43796,2 stars today,fauxpark; qmk-bot; drashna; noroadsleft; zvecr
6,timescale/timescaledb,https://github.com/timescale/timescaledb,A time-series database for high-performance real-time analytics packaged as a Postgres extension,C,22465,1080,9 stars today,svenklemm; erimatnor; cevian; mkindahl; akuzm
7,vedderb/bldc,https://github.com/vedderb/bldc,The VESC motor control firmware,C,3077,1771,5 stars today,vedderb; Mitchlol; nitrousnrg; kubark42; Jfriesen222
8,DarkFlippers/unleashed-firmware,https://github.com/DarkFlippers/unleashed-firmware,Flipper Zero Unleashed Firmware,C,21448,1861,10 stars today,xMasterX; skotopes; hedger; gornekich; DrZlo13
9,Cisco-Talos/clamav,https://github.com/Cisco-Talos/clamav,ClamAV - Documentation is here: https://docs.clamav.net,C,6536,849,6 stars today,val-ms; Emzi-Noxum; TheRaynMan; recvfrom; steve-morgan
10,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,6734,1406,4 stars today,hathach; HiFiPhile; pigrew; kkitayam; cr1901
11,jqlang/jq,https://github.com/jqlang/jq,Command-line JSON processor,C,34528,1764,16 stars today,stedolan; nicowilliams; itchyny; dtolnay; github-actions
12,raspberrypi/linux,https://github.com/raspberrypi/linux,Kernel source tree for Raspberry Pi-provided kernel builds. Issues unrelated to the linux kernel should be posted on the community forum at https://forums.raspberrypi.com/,C,12791,5397,4 stars today,torvalds; davem330; arndb; broonie; tiwai
13,freebsd/freebsd-src,https://github.com/freebsd/freebsd-src,The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests....,C,9035,3272,4 stars today,bsdimp; bsdjhb; kostikbel; bsdphk; DarkHelmet433
14,signalwire/freeswitch,https://github.com/signalwire/freeswitch,"FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device.",C,4810,1756,3 stars today,anthmFS; mjerris; briankwest; andywolk; seven1240
15,pgvector/pgvector,https://github.com/pgvector/pgvector,Open-source vector similarity search for Postgres,C,20943,1151,21 stars today,ankane; hlinnaka; jkatz; lychen0618; binarycleric
16,apache/nuttx,https://github.com/apache/nuttx,"Apache NuttX is a mature, real-time embedded operating system (RTOS)",C,3819,1556,3 stars today,gregory-nutt; xiaoxiang781216; yamt; anchao; raiden00pl
17,Zaneham/BarraCUDA,https://github.com/Zaneham/BarraCUDA,Open-source CUDA compiler targeting multiple GPU architectures. Compiles .cu to AMD and Tenstorrent GPU's,C,1653,81,7 stars today,Zaneham; nataliakokoromyti
18,reactos/reactos,https://github.com/reactos/reactos,A free Windows-compatible Operating System,C,17421,2099,5 stars today,AmineKhaldi; tkreuzer; EricKohl; HBelusca; ThFabba
19,pjsip/pjproject,https://github.com/pjsip/pjproject,PJSIP project,C,2587,954,4 stars today,bennylp; nanangizz; sauwming; trengginas; jimying
