Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets,Python,32633,5603,137 stars today,shiyu-coder; Luciferbobo; CharlesJ-ABu; AnMakc; randyy179
2,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Python,68845,7809,163 stars today,Prat011; sohamganatra; claude; sanjay3290; mellson
3,rohitg00/ai-engineering-from-scratch,https://github.com/rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,Python,42318,7047,652 stars today,rohitg00; github-actions; abhinav-m22; thereisnotime; pzy0006
4,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",Python,25384,2396,882 stars today,tirth8205; claude; gzenz; jaissebastian; michael-denyer
5,dottxt-ai/outlines,https://github.com/dottxt-ai/outlines,Structured Outputs,Python,15133,804,364 stars today,rlouf; RobinPicard; lapp0; brandonwillard; just-cameron
6,bojieli/ai-agent-book,https://github.com/bojieli/ai-agent-book,《深入理解 AI Agent：设计原理与工程实践》（李博杰 著）开源主仓库：全书正文、编译版 PDF 与按章配套代码,Python,17366,1666,"3,297 stars today",bojieli; claude; thejesh23; santhreal; phaethix
7,langchain-ai/open_deep_research,https://github.com/langchain-ai/open_deep_research,Pas de description,Python,12391,1750,264 stars today,rlancemartin; dependabot; nhuang-lc; moritalous; synergiator
8,LLMQuant/quant-mind,https://github.com/LLMQuant/quant-mind,QuantMind is an agent-native knowledge extraction and retrieval framework for quantitative finance.,Python,2100,361,12 stars today,WinstonLiyt; keli-wen; claude; frinkleko; Copilot
9,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",Python,83325,19889,44 stars today,surister; austinsonger; bregman-arie; knoxknot; djeada
10,luongnv89/claude-howto,https://github.com/luongnv89/claude-howto,"A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.",Python,40298,4892,116 stars today,luongnv89; claude; edocltd; toanalien; lzw-git-all
11,microsoft/SkillOpt,https://github.com/microsoft/SkillOpt,"SkillOpt is a text-space optimizer that trains reusable natural-language skills for frozen LLM agents through trajectory-driven edits, validation-gated updates, and deployable best_skill.md artifacts.",Python,14504,1336,599 stars today,Yif-Yang; claude; carpedkm; Lliar-liar; Cuzyoung
12,AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,"AI Agent Assistant & development framework that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨",Python,37801,2657,377 stars today,Soulter; Raven95676; RC-CHN; zouyonghe; LIghtJUNction
13,HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""",Python,38014,5354,33 stars today,danielaskdd; LarFii; claude; ParisNeo; YanSte
14,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",Python,74223,7635,322 stars today,unclecode; ntohidi; aravindkarnam; claude; SohamKukreti
15,NVIDIA/Model-Optimizer,https://github.com/NVIDIA/Model-Optimizer,"A unified library of SOTA model optimization techniques like quantization, distillation, pruning, neural architecture search, speculative decoding, etc. It compresses deep learning models for downstream deployment frameworks like TensorRT-LLM, TensorRT, vLLM, etc. to optimize inference speed.",Python,3291,509,8 stars today,kevalmorabia97; h-guo18; shengliangxu; ChenhanYu; cjluo-nv
16,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,"Turn any technical book PDF into a Claude Code skill — ready to study, reference, and use while you work.",Python,9360,1139,129 stars today,virgiliojr94; claude; dex0shubham; Copilot; Marcelluxx
17,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",Python,166698,12401,241 stars today,521xueweihan; yaowenqiang; daixiang0; zirnc; hibobby
