Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,fluent/fluent-bit,https://github.com/fluent/fluent-bit,"Fast and Lightweight Logs, Metrics and Traces processor for Linux, BSD, OSX and Windows",C,8035,1979,2 stars today,edsiper; cosmo0920; nokute78; pwhelan; leonardo-albertovich
2,memovai/mimiclaw,https://github.com/memovai/mimiclaw,MimiClaw: Harness on a $5 chip. No OS(Linux). No Node.js. No Mac mini. No Raspberry Pi. No VPS. Hardware agents OS.,C,5702,842,16 stars today,crispyberry; IRONICBo; claude; wjc1207; mogenson
3,duixcom/Duix-Avatar,https://github.com/duixcom/Duix-Avatar,🚀 Truly open-source AI avatar(digital human) toolkit for offline video generation and digital human cloning.,C,14609,2463,33 stars today,whl88; suifeng9203; haol666; flyingflyfly; Samge0
4,superturtlee/gbl_root_canoe,https://github.com/superturtlee/gbl_root_canoe,No TrickyStore on Canoe,C,988,261,2 stars today,superturtlee; cvhhji; iliaoke; LittlenineEnnea; Dere3046
5,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11816,5936,1 star today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
6,brunodev85/winlator,https://github.com/brunodev85/winlator,Android application for running Windows applications with Wine and Box86/Box64,C,18662,1643,19 stars today,brunodev85; kazimaruf991; Kashinathpat; hackcasual; lvonasek
7,gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,A little tool to play with Windows security,C,21778,4154,1 star today,gentilkiwi; hubert3; tanrikuluatahan; vletoux; zhangyoufu
8,hathach/tinyusb,https://github.com/hathach/tinyusb,An open source cross-platform USB stack for embedded system,C,7039,1495,1 star today,hathach; HiFiPhile; claude; pigrew; kkitayam
9,armel/uv-k1-k5v3-firmware-custom,https://github.com/armel/uv-k1-k5v3-firmware-custom,This is a fork of F4HWN firmware https://github.com/armel/uv-k5-firmware-custom by @muzkr and @armel,C,595,145,2 stars today,armel; mrkusypl; muzkr; mengzhuo; superkd13
10,qmk/qmk_firmware,https://github.com/qmk/qmk_firmware,Open-source keyboard firmware for Atmel AVR and Arm USB families,C,20633,44211,4 stars today,qmk-bot; fauxpark; drashna; noroadsleft; zvecr
11,CTCaer/hekate,https://github.com/CTCaer/hekate,hekate - A GUI based Nintendo Switch Bootloader,C,8605,676,5 stars today,CTCaer; rajkosto; balika011; nicholemattera; st4rk
12,reactos/reactos,https://github.com/reactos/reactos,A free Windows-compatible Operating System,C,17931,2185,6 stars today,tkreuzer; AmineKhaldi; EricKohl; HBelusca; ThFabba
13,bol-van/zapret2,https://github.com/bol-van/zapret2,anti-dpi software,C,5225,221,10 stars today,bol-van; Pavel4e5; goodrussian666
14,OpenIPC/firmware,https://github.com/OpenIPC/firmware,Alternative IP Camera firmware from an open community,C,2131,448,5 stars today,ZigFisher; viktorxda; widgetii; dimerr; actions-user
15,coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,Lean's LEDE source,C,31571,19214,5 stars today,coolsnowwolf; aiamadeus; dangowrt; Beginner-Go; nbd168
16,bitaxeorg/ESP-Miner,https://github.com/bitaxeorg/ESP-Miner,A bitcoin ASIC miner for the ESP32,C,937,403,1 star today,skot; benjamin-wilson; johnny9; mutatrum; WantClue
17,libuv/libuv,https://github.com/libuv/libuv,Cross-platform asynchronous I/O,C,27109,3912,5 stars today,bnoordhuis; piscisaureus; saghul; ry; cjihrig
18,coop-deluxe/sm64coopdx,https://github.com/coop-deluxe/sm64coopdx,An official continuation of https://github.com/djoslin0/sm64ex-coop on sm64coopdx for the enhancements and progress it already has.,C,1303,303,3 stars today,AgentXLP; Isaac0-dev; PeachyPeachSM64; EmeraldLoc; Sunketchupm
19,Sor3nt/Flipper-Zero-ESP32-Port,https://github.com/Sor3nt/Flipper-Zero-ESP32-Port,Pas de description,C,383,85,5 stars today,claude; Sor3nt; AmsaOne; rawnullbyte; Adamskii57
20,DeusData/codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,39145,3132,90 stars today,DeusData; shanemccarron-maker; claude; dependabot; mvanhorn
