Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,argoproj/argo-cd,https://github.com/argoproj/argo-cd,Declarative Continuous Deployment for Kubernetes,Go,23454,7427,29 stars today,dependabot; alexmt; crenshaw-dev; jannfis; jessesuen
2,charmbracelet/crush,https://github.com/charmbracelet/crush,Glamourous agentic coding for all 💘,Go,26264,1940,70 stars today,kujtimiihoxha; andreynering; meowgorithm; aymanbagabas; caarlos0
3,larksuite/cli,https://github.com/larksuite/cli,"The official Lark/Feishu CLI tool, maintained by the larksuite team — built for humans and AI Agents. Covers core business domains including Messenger, Docs, Base, Sheets, Calendar, Mail, Tasks, Meetings, and more, with 200+ commands and 20+ AI Agent Skills.",Go,15303,1064,58 stars today,liangshuo-1; fangshuyu-768; wittam-01; evandance; zgz2048
4,hashicorp/terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",Go,48880,10395,41 stars today,jbardin; mitchellh; apparentlymart; stack72; catsby
5,aquasecurity/trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",Go,36821,524,32 stars today,knqyf263; DmitriyLewen; dependabot; nikpivkin; simar7
6,vxcontrol/pentagi,https://github.com/vxcontrol/pentagi,Fully autonomous AI Agents system capable of performing complex penetration testing tasks,Go,18889,2579,454 stars today,sirozha; asdek; claude; mason5052; cursoragent
7,tailscale/tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",Go,33289,2734,54 stars today,bradfitz; danderson; josharian; raggi; andrew-d
8,projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei,"Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",Go,29577,3550,30 stars today,Mzack9999; ehsandeep; dependabot; Ice3man543; tarunKoyalwar
9,moby/moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,71801,18981,21 stars today,thaJeztah; cpuguy83; crosbymichael; vdemeester; vvoland
10,IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,"CasaOS - A simple, easy-to-use, elegant open-source Personal Cloud system.",Go,36344,2097,47 stars today,LinkLeong; JohnGuan; tigerinus; jerrykuku; allcontributors
11,kenn-io/agentsview,https://github.com/kenn-io/agentsview,"Local-first session search, analytics, insights, and token use statistics for coding agents, supporting Claude Code, Codex, and more than 20 other agents.",Go,4121,329,48 stars today,wesm; claude; mariusvniekerk; rodboev; mjacobs
12,Agent-Field/agentfield,https://github.com/Agent-Field/agentfield,"Build, run and scale AI agents like API and microservices - observable,auditable and identity-aware from day one.",Go,2317,369,24 stars today,santoshkumarradha; github-actions; AbirAbbas; claude; dependabot
13,prometheus/prometheus,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,Go,65007,10586,57 stars today,fabxc; juliusv; beorn7; bboreham; dependabot
14,temporalio/temporal,https://github.com/temporalio/temporal,Temporal service,Go,21502,1711,25 stars today,wxing1292; yycptt; dnr; stephanos; yux0
15,netdata/netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",Go,79558,6512,20 stars today,ktsaou; netdatabot; ilyam8; Ferroin; stelfrag
16,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,Go implementation of the Ethereum protocol,Go,51228,21936,18 stars today,obscuren; karalabe; fjl; holiman; rjl493456442
17,rancher/rancher,https://github.com/rancher/rancher,Complete container management platform,Go,25731,3206,8 stars today,ibuildthecloud; kinarashah; dramich; jakefhyde; jiaqiluo
18,karust/openserp,https://github.com/karust/openserp,"Self-hosted SERP API for AI, SEO & automation. Browser-rendered Google, Bing, Yandex, Baidu, DuckDuckGo and Ecosia search with page extraction 🎉",Go,1014,129,42 stars today,karust; PACHAKUTlQ; miku
19,gastownhall/gastown,https://github.com/gastownhall/gastown,Gas Town - multi-agent workspace manager,Go,16897,1550,34 stars today,steveyegge; claude; julianknutsen; Thalia-geraghty; seanbearden
20,prometheus/node_exporter,https://github.com/prometheus/node_exporter,Exporter for machine metrics,Go,13586,2674,7 stars today,SuperQ; dependabot; discordianfish; grobie; juliusv
21,netbirdio/netbird,https://github.com/netbirdio/netbird,"Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.",Go,26945,1473,42 stars today,mlsmaycon; pascal-fischer; lixmal; braginini; pappz
22,open-telemetry/opentelemetry-collector-contrib,https://github.com/open-telemetry/opentelemetry-collector-contrib,Contrib repository for the OpenTelemetry Collector,Go,4780,3709,6 stars today,renovate; bogdandrutu; opentelemetrybot; atoulme; songy23
23,weaviate/weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",Go,16543,1342,7 stars today,antas-marcin; etiennedi; dirkkul; moogacs; asdine
24,cli/cli,https://github.com/cli/cli,GitHub’s official command line tool,Go,45188,8676,21 stars today,mislav; vilmibm; BagToad; williammartin; babakks
