Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,music-assistant/server,https://github.com/music-assistant/server,"Music Assistant is a free, opensource Media library manager that connects to your streaming services and a wide range of connected speakers. The server is the beating heart, the core of Music Assistant and must run on an always-on device like a Raspberry Pi, a NAS or an Intel NUC or alike.",Python,1809,424,20 stars today,marcelveldt; dependabot; MarvinSchenkel; music-assistant-machine; OzGav
2,maziyarpanahi/openmed,https://github.com/maziyarpanahi/openmed,open-source healthcare ai,Python,3221,307,515 stars today,maziyarpanahi; Technolity; claude; thirdwing; sawirricardo
3,LMCache/LMCache,https://github.com/LMCache/LMCache,LMCache: Supercharge Your LLM with the Fastest KV Cache Layer,Python,8656,1289,28 stars today,ApostaC; maobaolong; YaoJiayi; sammshen; chunxiaozheng
4,NVIDIA/SkillSpector,https://github.com/NVIDIA/SkillSpector,"Security scanner for AI agent skills. Detect vulnerabilities, malicious patterns, and security risks.",Python,3590,273,813 stars today,keshprad; lrecknagel; wernerkasselman-au
5,FareedKhan-dev/train-llm-from-scratch,https://github.com/FareedKhan-dev/train-llm-from-scratch,"A straightforward method for training your LLM, from downloading data to generating text.",Python,5867,792,224 stars today,FareedKhan-dev; TianyiQ; claude; konglingfan; eltociear
6,karpathy/autoresearch,https://github.com/karpathy/autoresearch,AI agents running research on single-GPU nanochat training automatically,Python,86437,12521,207 stars today,karpathy; claude; hughdbrown; marcinbogdanski; indianspeedster
7,soxoj/maigret,https://github.com/soxoj/maigret,🕵️‍♂️ Collect a dossier on a person by username from 3000+ sites,Python,32966,2420,555 stars today,soxoj; dependabot; kustermariocoding; Copilot; fen0s
8,Free-TV/IPTV,https://github.com/Free-TV/IPTV,M3U Playlist for free TV channels,Python,16701,2517,33 stars today,KAMI911; freetv332; NezbednikSK; TVKaista; infid0
9,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",Python,69028,6952,69 stars today,jmaslek; deeleeramone; colin99d; DidierRLopes; montezdesousa
10,shuvonsec/claude-bug-bounty,https://github.com/shuvonsec/claude-bug-bounty,"AI-powered bug bounty hunting from your terminal - recon, 20 vuln classes, autonomous hunting, and report generation. All inside Claude Code.",Python,2771,479,226 stars today,claude; shuvonsec; shuv0n; venkatas; letztek
11,vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,Python,82726,17996,136 stars today,DarkLight1337; WoosukKwon; mgoin; hmellor; Isotr0py
12,modelscope/ms-swift,https://github.com/modelscope/ms-swift,"Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 600+ LLMs (Qwen3.6, DeepSeek-V4, GLM-5.1, InternLM3, Llama4, ...) and 300+ MLLMs (Qwen3-VL, Qwen3-Omni, InternVL3.5, Ovis2.5, GLM4.5v, Gemma4, Llava, Phi4, ...) (AAAI 2025).",Python,14490,1476,11 stars today,Jintao-Huang; tastelikefeet; hjh0119; slin000111; addsubmuldiv
13,ml-explore/mlx-lm,https://github.com/ml-explore/mlx-lm,Run LLMs with MLX,Python,5821,765,42 stars today,angeloskath; Goekdeniz-Guelmez; kernelpool; awni; ivanfioravanti
14,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Python,150002,17709,459 stars today,klazuka; rlancemartin; claude; ericharmeling; maheshmurag
15,browser-use/browser-use,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,Python,98530,11001,181 stars today,MagMueller; pirate; mertunsall; sauravpanda; gregpr07
16,frappe/frappe,https://github.com/frappe/frappe,"Low code web framework for real world applications, in Python and Javascript",Python,10222,5014,7 stars today,rmehta; surajshetty3416; ankush; anandpdoshi; nabinhait
17,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform.,Python,139155,23068,83 stars today,baskaryan; hwchase17; ccurme; mdrxy; eyurtsev
18,basicmachines-co/basic-memory,https://github.com/basicmachines-co/basic-memory,AI conversations that actually remember. Never re-explain your project to your AI again. Join our Discord: https://discord.gg/tyvKNccgqN,Python,3218,214,20 stars today,phernandez; claude; groksrc; claude; github-actions
19,BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",Python,50205,8837,118 stars today,ishaan-jaff; Sameerlite; yuneng-jiang; claude; yuneng-berri
20,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,CLI tool for configuring and monitoring Claude Code,Python,28016,2904,50 stars today,davila7; claude; github-actions; dependabot; actions-user
21,DrewThomasson/ebook2audiobook,https://github.com/DrewThomasson/ebook2audiobook,"Generate audiobooks from e-books, voice cloning & 1158+ languages!",Python,19249,1596,9 stars today,ROBERT-MCDOWELL; DrewThomasson; github-actions; mahdi155000; Wesam-1110111
22,NVIDIA-NeMo/NeMo,https://github.com/NVIDIA-NeMo/NeMo,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",Python,17363,3434,9 stars today,pre-commit-ci; okuchaiev; titu1994; ekmb; yidong72
