Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,HarbourMasters/Lighthouse,https://github.com/HarbourMasters/Lighthouse,Pas de description,C,230,18,65 stars today,Caladius; JeodC; scorched11; Malkierian; Fredomato
2,antirez/ds4,https://github.com/antirez/ds4,"DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm",C,20041,1776,139 stars today,antirez; mitsuhiko; claude; jackygurui; cv
3,tr4m0ryp/tr4mpass,https://github.com/tr4m0ryp/tr4mpass,"Free, open-source iCloud activation lock bypass tool. Remove iCloud lock from iPhone 5s through iPhone 15 Pro (iOS 12-26.1). Fully offline -- no servers, no payments. Supports checkm8 (A5-A11) and session activation (A12+).",C,473,138,11 stars today,tr4m0ryp; claude
4,meshcore-dev/MeshCore,https://github.com/meshcore-dev/MeshCore,"A new lightweight, hybrid routing mesh protocol for packet radios",C,3363,1168,11 stars today,ripplebiz; liamcottle; fdlamotte; recrof; oltaco
5,xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,C,25799,681,32 stars today,xiaojieonly; UjuiUjuMandan; wyapx; zhao-ng327; eithwa
6,nginx/nginx,https://github.com/nginx/nginx,The official NGINX Open Source repository.,C,31315,8194,17 stars today,mdounin; arut; vl-homutov; VBart; pluknet
7,erincatto/box3d,https://github.com/erincatto/box3d,Box3D is a 3D physics engine for games,C,5775,285,20 stars today,erincatto; gafferongames
8,brunodev85/winlator,https://github.com/brunodev85/winlator,Android application for running Windows applications with Wine and Box86/Box64,C,18448,1582,17 stars today,brunodev85; kazimaruf991; Kashinathpat; hackcasual; lvonasek
9,obsproject/obs-studio,https://github.com/obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,74439,9530,74 stars today,jp9000; jpark37; derrod; PatTheMav; RytoEX
10,Klipper3d/klipper,https://github.com/Klipper3d/klipper,Klipper is a 3d-printer firmware,C,11787,5924,3 stars today,KevinOConnor; Arksine; nefelim4ag; dmbutyugin; mcmatrix
11,mpv-player/mpv,https://github.com/mpv-player/mpv,🎥 Command line media player,C,36307,3452,23 stars today,kasper93; Dudemanguy; guidocella; haasn; pigoz
12,TsudaKageyu/minhook,https://github.com/TsudaKageyu/minhook,The Minimalistic x86/x64 API Hooking Library for Windows,C,5896,1072,3 stars today,TsudaKageyu; m417z; ZLOFENIX; jarredholman; FransBouma
13,libsdl-org/SDL,https://github.com/libsdl-org/SDL,Simple DirectMedia Layer,C,16243,2892,8 stars today,slouken; icculus; sezero; madebr; SDLWikiBot
14,olikraus/u8g2,https://github.com/olikraus/u8g2,"U8glib library for monochrome displays, version 2",C,6606,1216,4 stars today,olikraus; izilzty; basilfx; matthijskooijman; fherrera124
15,lcdyk0517/arkos4clone,https://github.com/lcdyk0517/arkos4clone,ArkOS for Unofficial Devices,C,609,317,4 stars today,lcdyk; lcdyk0517; xunicatt; AeolusUX; leehihi123
16,bmax121/KernelPatch,https://github.com/bmax121/KernelPatch,Patching and hooking the Linux kernel with only a stripped Linux kernel image.,C,1453,357,4 stars today,Admirepowered; bmax121; NepXIN; sekaiacg; claude
17,SanderMertens/flecs,https://github.com/SanderMertens/flecs,A fast entity component system (ECS) for C & C++,C,8547,609,5 stars today,SanderMertens; waywardmonkeys; Indra-db; randy408; WEREMSOFT
