Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,google/ax,https://github.com/google/ax,Google's open agentic orchestration runtime,Go,9245,442,"1,543 stars today",rakyll; joycel-github; wjjclaud; anj-s; zbl94
2,agent-substrate/substrate,https://github.com/agent-substrate/substrate,Agent Substrate: the core system,Go,3547,418,558 stars today,BenTheElder; juli4n; HavenXia; thockin; zoez7
3,hoaxisr/awg-manager,https://github.com/hoaxisr/awg-manager,AmneziaWG tunnel manager with web interface for Keenetic routers,Go,675,43,10 stars today,hoaxisr; DevRedOWL; claude; iqubik; miuirussia
4,weave-os/router,https://github.com/weave-os/router,Model router for agentic systems. Routes every prompt to the right model in <50ms. Cut costs 40-70% with just an endpoint change.,Go,5007,138,185 stars today,steventohme; claude; aminsamir45; devin-ai-integration; a-churchill
5,mostlygeek/llama-swap,https://github.com/mostlygeek/llama-swap,"Reliable model swapping for any local OpenAI/Anthropic compatible server - llama.cpp, vllm, etc",Go,5741,481,15 stars today,mostlygeek; claude; ryan-steed-usa; cphlipot; marcusds
6,opentofu/opentofu,https://github.com/opentofu/opentofu,OpenTofu lets you declaratively manage your cloud infrastructure.,Go,30269,1377,13 stars today,apparentlymart; cam72cam; yottta; Yantrio; diofeher
7,zzet/gortex,https://github.com/zzet/gortex,"High-performance code-intelligence engine for AI agents and IDE, supports 257 languages, multi repositories, based on graph, with access via CLI, MCP Server, and API. AI coding agents teammate - expose only needed information, cutting token usage up to 50x. 100% local. Discord: https://discord.gg/39MFHu3J5d",Go,1723,162,37 stars today,zzet; pbednarcik; tiendungdev; claude; dependabot
8,flexprice/flexprice,https://github.com/flexprice/flexprice,Usage-based pricing and billing for developers 🔓 Cloud or self-hosted ⚙️ No-code UI 💰 Realtime usage metering 🎟 Credits & top-ups 🔑 Control feature access,Go,6932,995,617 stars today,omkar273; nkmishra1997; claude; DiabolusGX; hiteshshimpi-55
9,chenyme/grok2api,https://github.com/chenyme/grok2api,"Multi-account API gateway for Grok Build, Grok Web, and Grok Console",Go,7731,2307,12 stars today,chenyme; lij768423-svg; piexian; lijirou12; buddhism5080
10,router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,"Wrap Antigravity, ChatGPT Codex, Claude Code, Grok Build, Muse Code, Davin as an OpenAI/Gemini/Claude/Codex compatible API service, allowing you to enjoy the free Gemini Series, GPT Series, Grok Series, Claude model through API",Go,53050,8013,179 stars today,luispater; hkfires; sususu98; LTbinglingfeng; ben-vargas
11,bjarneo/cliamp,https://github.com/bjarneo/cliamp,cliamp - Terminal music player inspired by winamp,Go,4313,290,23 stars today,bjarneo; claude; tahadx; coryshaw1; oweneldridge
12,grafana/mcp-grafana,https://github.com/grafana/mcp-grafana,MCP server for Grafana,Go,3487,453,2 stars today,sd2k; claude; renovate-sh-app; dependabot; ioanarm
13,github/gh-stack,https://github.com/github/gh-stack,GitHub Stacked PRs,Go,1543,75,6 stars today,skarim; dependabot; Copilot; Copilot; Copilot
14,prometheus/prometheus,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,Go,66196,10851,28 stars today,fabxc; juliusv; beorn7; bboreham; dependabot
15,hashicorp/terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",Go,49714,10624,10 stars today,jbardin; mitchellh; apparentlymart; stack72; catsby
16,kubernetes-sigs/karpenter,https://github.com/kubernetes-sigs/karpenter,"Karpenter is a Kubernetes Node Autoscaler built for flexibility, performance, and simplicity.",Go,2202,582,7 stars today,jonathan-innis; dependabot; engedaam; njtran; jmdeal
17,projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei,"Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",Go,31471,3888,33 stars today,Mzack9999; dependabot; ehsandeep; Ice3man543; dogancanbakir
18,alibaba/skill-up,https://github.com/alibaba/skill-up,An evaluation and evolution tool for Agent Skills.,Go,1055,85,16 stars today,zpzjzj; roark47; dependabot; claude; JHWang-1997
19,maximhq/bifrost,https://github.com/maximhq/bifrost,"Fastest enterprise AI gateway (50x faster than LiteLLM) with adaptive load balancer, cluster mode, guardrails, 1000+ models support & <100 µs overhead at 5k RPS.",Go,8295,1275,48 stars today,akshaydeo; github-actions; Pratham-Mishra04; impoiler; TejasGhatte
20,github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,Go,33157,5042,24 stars today,SamMorrowDrums; Copilot; dependabot; JoannaaKL; mattdholloway
